"Blog","블로그"
"Blog Article","블로그 아티클"
"Recent Posts","최근 글"
"Search Blog","블로그 검색"
"Search","검색"
"Search posts…","글 검색…"
"No posts found.","게시글이 없습니다."
"No recent posts.","최근 글이 없습니다."
"View all %1 posts","%1 전체 보기"
"Back to blog","블로그로 돌아가기"
"This post is not available.","이 글을 볼 수 없습니다."
"By %1","글쓴이 %1"
"%1 min read","약 %1분"
"Share","공유"
"Copy link","링크 복사"
"Previous","이전"
"Next","다음"
"Home","홈"
"Go to Home Page","홈페이지로 이동"
"%1 on","%1 님:"
"All","전체"
"Archive","아카이브"
"Blog pagination","블로그 페이지 이동"
"By","작성자"
"Cancel reply","답글 취소"
"Categories:","카테고리:"
"Clear","초기화"
"Comment","댓글"
"Comments","댓글"
"Copied!","복사됨!"
"Email","이메일"
"Exit reading mode","읽기 모드 종료"
"Facebook","Facebook"
"LinkedIn","LinkedIn"
"Most Viewed","최다 조회"
"Most viewed","조회순"
"Name","이름"
"Newest first","최신순"
"No blog posts are available yet.","아직 게시글이 없습니다."
"No comments yet. Be the first to comment.","아직 댓글이 없습니다. 첫 댓글을 남겨보세요."
"No posts matched your search.","검색 결과가 없습니다."
"No posts yet.","아직 글이 없습니다."
"Oldest first","오래된순"
"On this page","이 페이지에서"
"Page %1 of %2 (%3 posts)","%2페이지 중 %1페이지 (총 %3개)"
"Preview mode: this post is not publicly published. Search engines will not index this URL.","미리보기 모드: 이 글은 공개 발행되지 않았습니다. 검색 엔진에 색인되지 않습니다."
"RSS feed","RSS 피드"
"Read more","더 보기"
"Reading mode","읽기 모드"
"Recent Comments","최근 댓글"
"Related posts","관련 글"
"Related products","관련 상품"
"Reply","답글"
"Replying to","답글 대상:"
"Results for “%1” (%2)","“%1” 검색 결과 (%2)"
"Sort","정렬"
"Submit comment","댓글 등록"
"Table of contents","목차"
"Tags:","태그:"
"Title A–Z","제목 오름차순"
"Title Z–A","제목 내림차순"
"Website","웹사이트"
"X","X"
